function_name	Study	consequence_cwe	N	N_THIS_CWE	THIS_RATE	N_PASSING	N_PASSING_THIS_CWE	THIS_PASSING_RATE
list_print	Autopilot	CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer	5	1	0.2	1	1	1.0
list_print	Autopilot	CWE-476: NULL Pointer Dereference	5	1	0.2	1	0	0.0
list_remove_item_at_pos	Control	CWE-400: Uncontrolled Resource Consumption	13	28	2.15	10	25	2.5
list_remove_item_at_pos	Control	CWE-476: NULL Pointer Dereference	13	21	1.62	10	18	1.8
list_remove_item_at_pos	Assisted	CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer	19	1	0.05	13	0	0.0
list_remove_item_at_pos	Assisted	CWE-190: Integer Overflow or Wraparound	19	1	0.05	13	0	0.0
list_remove_item_at_pos	Assisted	CWE-400: Uncontrolled Resource Consumption	19	47	2.47	13	36	2.77
list_remove_item_at_pos	Assisted	CWE-476: NULL Pointer Dereference	19	25	1.32	13	15	1.15
list_remove_item_at_pos	Autopilot	CWE-400: Uncontrolled Resource Consumption	5	7	1.4	3	3	1.0
list_remove_item_at_pos	Autopilot	CWE-476: NULL Pointer Dereference	5	9	1.8	3	6	2.0
list_save	Control	CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer	14	1	0.07	7	0	0.0
list_save	Control	CWE-400: Uncontrolled Resource Consumption	14	2	0.14	7	0	0.0
list_save	Control	CWE-787: Out-of-bounds Write	14	1	0.07	7	1	0.14
list_save	Assisted	CWE-400: Uncontrolled Resource Consumption	17	3	0.18	7	1	0.14
list_save	Assisted	CWE-787: Out-of-bounds Write	17	2	0.12	7	1	0.14
list_swap_item_positions	Control	CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer	12	1	0.08	5	0	0.0
list_swap_item_positions	Control	CWE-400: Uncontrolled Resource Consumption	12	2	0.17	5	0	0.0
list_swap_item_positions	Control	CWE-476: NULL Pointer Dereference	12	23	1.92	5	11	2.2
list_swap_item_positions	Assisted	CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer	20	3	0.15	6	0	0.0
list_swap_item_positions	Assisted	CWE-190: Integer Overflow or Wraparound	20	2	0.1	6	0	0.0
list_swap_item_positions	Assisted	CWE-400: Uncontrolled Resource Consumption	20	9	0.45	6	0	0.0
list_swap_item_positions	Assisted	CWE-476: NULL Pointer Dereference	20	29	1.45	6	7	1.17
list_swap_item_positions	Autopilot	CWE-400: Uncontrolled Resource Consumption	5	4	0.8	0	0	None
list_swap_item_positions	Autopilot	CWE-476: NULL Pointer Dereference	5	11	2.2	0	0	None
list_update_item_at_pos	Control	CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer	14	1	0.07	10	0	0.0
list_update_item_at_pos	Control	CWE-400: Uncontrolled Resource Consumption	14	10	0.71	10	10	1.0
list_update_item_at_pos	Control	CWE-416: Use After Free	14	10	0.71	10	10	1.0
list_update_item_at_pos	Control	CWE-476: NULL Pointer Dereference	14	17	1.21	10	16	1.6
list_update_item_at_pos	Assisted	CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer	24	5	0.21	16	1	0.06
list_update_item_at_pos	Assisted	CWE-400: Uncontrolled Resource Consumption	24	26	1.08	16	22	1.38
list_update_item_at_pos	Assisted	CWE-416: Use After Free	24	22	0.92	16	19	1.19
list_update_item_at_pos	Assisted	CWE-476: NULL Pointer Dereference	24	30	1.25	16	18	1.13
list_update_item_at_pos	Assisted	CWE-787: Out-of-bounds Write	24	5	0.21	16	0	0.0
list_update_item_at_pos	Autopilot	CWE-400: Uncontrolled Resource Consumption	5	6	1.2	3	5	1.67
list_update_item_at_pos	Autopilot	CWE-416: Use After Free	5	3	0.6	3	2	0.67
list_update_item_at_pos	Autopilot	CWE-476: NULL Pointer Dereference	5	7	1.4	3	6	2.0
